,burnt,trees,wet_trees,settlement,burnt_settle,wet_settlement,perc_burnt,perc_settle_burnt
55,3495.0,1991.0,165.0,302.0,0.0,12.0,0.618474606264378,0.0
56,3591.0,1900.0,168.0,302.0,0.0,12.0,0.6345644106732639,0.0
57,3682.0,1796.0,171.0,302.0,0.0,12.0,0.6517967781908303,0.0
58,3757.0,1709.0,180.0,302.0,0.0,12.0,0.665426850867871,0.0
59,3837.0,1615.0,189.0,302.0,0.0,12.0,0.6801985463570289,0.0
60,3933.0,1518.0,195.0,302.0,0.0,12.0,0.6965993623804463,0.0
61,4018.0,1410.0,206.0,302.0,0.0,12.0,0.7131700390486333,0.0
62,4105.0,1317.0,216.0,302.0,0.0,12.0,0.7280950691734658,0.0
63,4190.0,1216.0,226.0,302.0,0.0,12.0,0.7439630681818182,0.0
64,4275.0,1119.0,236.0,301.0,0.0,12.0,0.7593250444049734,0.0
65,4375.0,1047.0,244.0,301.0,0.0,13.0,0.7721496646664313,0.0
66,4454.0,981.0,256.0,301.0,0.0,13.0,0.7826392549639782,0.0
67,4532.0,917.0,265.0,301.0,0.0,13.0,0.7931396569828492,0.0
68,4611.0,873.0,270.0,301.0,0.0,13.0,0.8013555787278415,0.0
69,4671.0,831.0,275.0,301.0,0.0,13.0,0.8085511511164964,0.0
70,4721.0,793.0,276.0,301.0,0.0,13.0,0.8153713298791019,0.0
71,4767.0,755.0,277.0,301.0,0.0,13.0,0.8220382824624936,0.0
72,4803.0,717.0,279.0,301.0,0.0,13.0,0.8282462493533368,0.0
73,4849.0,690.0,281.0,301.0,0.0,13.0,0.8331615120274914,0.0
74,4886.0,674.0,283.0,301.0,0.0,13.0,0.8362142734896457,0.0
75,4915.0,641.0,283.0,301.0,0.0,13.0,0.8417537249529029,0.0
76,4946.0,609.0,285.0,301.0,0.0,13.0,0.8469178082191781,0.0
77,4969.0,582.0,286.0,301.0,0.0,13.0,0.851293472674319,0.0
78,4998.0,561.0,288.0,301.0,0.0,13.0,0.8547973319651103,0.0
79,5027.0,530.0,289.0,301.0,0.0,13.0,0.8599042080054738,0.0
80,5051.0,496.0,289.0,301.0,0.0,13.0,0.8654900616860863,0.0
81,5082.0,468.0,292.0,301.0,0.0,13.0,0.8699075659020883,0.0
82,5100.0,439.0,293.0,301.0,0.0,13.0,0.8744855967078189,0.0
83,5127.0,414.0,295.0,301.0,0.0,13.0,0.8785126799177518,0.0
84,5150.0,398.0,295.0,301.0,0.0,13.0,0.8813965428718125,0.0
85,5174.0,394.0,295.0,301.0,0.0,13.0,0.8824833702882483,0.0
86,5201.0,393.0,295.0,301.0,0.0,13.0,0.8831720156223467,0.0
87,5215.0,393.0,295.0,301.0,0.0,13.0,0.8834490936811791,0.0
88,5232.0,393.0,295.0,301.0,0.0,13.0,0.8837837837837837,0.0
89,5238.0,393.0,295.0,301.0,0.0,13.0,0.8839014512318596,0.0
90,5240.0,393.0,295.0,301.0,0.0,13.0,0.8839406207827261,0.0
